dataset,w_dino,n_categories,mean_image_auroc,mean_pixel_auroc
btad,0.0,3,0.9342993513317057,0.9545603933303194
btad,0.1,3,0.9380364787029795,0.9591797849897814
btad,0.2,3,0.9424254584528352,0.9627758230248203
btad,0.3,3,0.9457911303894381,0.9655614702645637
btad,0.4,3,0.948128165319554,0.9676469097821069
btad,0.5,3,0.9515926623843498,0.9691137649960101
btad,0.6,3,0.9545706187236801,0.9700239991636225
btad,0.7,3,0.9571911240686752,0.9703957579213451
btad,0.8,3,0.9582505629429471,0.9701760050553215
btad,0.9,3,0.9558538995156715,0.9692014209929627
btad,1.0,3,0.9541160452566624,0.9671519580294019
mpdd,0.0,6,0.8450583461792499,0.9317241652477496
mpdd,0.1,6,0.8607362943465223,0.9504647173064097
mpdd,0.2,6,0.880371367033067,0.9631904190760506
mpdd,0.3,6,0.9050012458501087,0.971541802701405
mpdd,0.4,6,0.9229560668978487,0.9771694453750773
mpdd,0.5,6,0.9368061482857492,0.9810490171171473
mpdd,0.6,6,0.9435689671375243,0.9836468118350338
mpdd,0.7,6,0.9452967205466593,0.985116322645797
mpdd,0.8,6,0.9451100761746541,0.9854740187123342
mpdd,0.9,6,0.9433730332309399,0.9845978804877883
mpdd,1.0,6,0.9418286420512368,0.9821924909699709
mvtec,0.0,15,0.9407682059419994,0.9403292490770586
mvtec,0.1,15,0.9506290729938481,0.9561066769487491
mvtec,0.2,15,0.9614466282216101,0.9659271580836929
mvtec,0.3,15,0.9715840652908125,0.9720076054153471
mvtec,0.4,15,0.9802403585703915,0.9758010481014453
mvtec,0.5,15,0.9864777623972437,0.9781005217338925
mvtec,0.6,15,0.9911513741663722,0.9793273655987811
mvtec,0.7,15,0.9918175340586038,0.9796739034560696
mvtec,0.8,15,0.9918698068602344,0.9791731759544106
mvtec,0.9,15,0.9917145604758244,0.9777206272275445
mvtec,1.0,15,0.9905161922955465,0.9750949861320622
visa,0.0,12,0.797777310231023,0.908665827070129
visa,0.1,12,0.8118268426842684,0.9398427445159246
visa,0.2,12,0.8370209295929593,0.9586487710614909
visa,0.3,12,0.868828107810781,0.9697500761984429
visa,0.4,12,0.8965629262926292,0.9764645877578805
visa,0.5,12,0.9171185643564357,0.9806122631534744
visa,0.6,12,0.9288173817381739,0.9831280820822176
visa,0.7,12,0.9337077832783277,0.984465465932859
visa,0.8,12,0.9340153740374038,0.9848537309915023
visa,0.9,12,0.9325055830583059,0.9843952718780328
visa,1.0,12,0.9298070682068206,0.983060580340012
