dataset,category,best_w_dino,best_image_auroc,pure_clip_auroc,pure_dino_auroc,equal_weight_auroc
btad,01,0.2,0.9708,0.9699,0.9368,0.9621
btad,02,1.0,0.9278,0.844,0.9278,0.8957
btad,03,1.0,0.9977,0.989,0.9977,0.997
mpdd,bracket_black,0.6,0.8351,0.7892,0.8012,0.8311
mpdd,bracket_brown,0.7,0.9261,0.8522,0.9103,0.914
mpdd,bracket_white,0.9,1.0,0.7967,1.0,0.9789
mpdd,connector,0.8,0.9857,0.8429,0.9857,0.9643
mpdd,metal_plate,0.4,1.0,0.9697,1.0,1.0
mpdd,tubes,1.0,0.9538,0.8197,0.9538,0.9325
mvtec,bottle,0.1,1.0,0.9976,1.0,1.0
mvtec,cable,0.8,0.9895,0.9048,0.9876,0.9769
mvtec,capsule,0.7,0.9817,0.8775,0.9717,0.9753
mvtec,carpet,0.6,1.0,0.9675,1.0,0.9996
mvtec,grid,0.6,1.0,0.9733,1.0,0.9992
mvtec,hazelnut,0.4,1.0,0.9882,1.0,1.0
mvtec,leather,0.0,1.0,1.0,1.0,1.0
mvtec,metal_nut,0.2,1.0,0.998,1.0,1.0
mvtec,pill,0.9,0.9875,0.8412,0.9864,0.9694
mvtec,screw,0.6,0.9465,0.7846,0.9381,0.9309
mvtec,tile,0.2,1.0,0.9982,1.0,1.0
mvtec,toothbrush,0.6,0.9972,0.9083,0.9944,0.9778
mvtec,transistor,0.9,0.9908,0.9146,0.9908,0.9775
mvtec,wood,0.7,0.9965,0.9833,0.9921,0.9921
mvtec,zipper,0.6,0.9987,0.9743,0.9966,0.9984
visa,candle,0.7,0.9656,0.8773,0.9595,0.9562
visa,capsules,0.9,0.9603,0.664,0.9578,0.919
visa,cashew,0.7,0.9972,0.867,0.9768,0.9896
visa,chewinggum,1.0,0.981,0.9702,0.981,0.9806
visa,fryum,1.0,0.955,0.8174,0.955,0.9222
visa,macaroni1,0.5,0.8527,0.7879,0.8015,0.8527
visa,macaroni2,0.9,0.804,0.5528,0.803,0.7137
visa,pcb1,0.9,0.9352,0.796,0.9338,0.9031
visa,pcb2,0.7,0.8927,0.6631,0.883,0.876
visa,pcb3,1.0,0.9454,0.7249,0.9454,0.9218
visa,pcb4,0.4,0.9762,0.8924,0.9694,0.9759
visa,pipe_fryum,0.8,0.997,0.9604,0.9914,0.9946
