dataset,category,w_oracle,w_predicted,rho_dino,rho_clip,r_dino,r_clip,best_image_auroc
btad,01,0.2,0.5783,0.1532,0.2102,6.5259,4.7582,0.9708
btad,02,1.0,0.5911,0.2728,0.3944,3.6651,2.5352,0.9278
btad,03,1.0,0.5829,0.2234,0.3121,4.4771,3.2042,0.9977
mpdd,bracket_black,0.6,0.5623,0.2856,0.3669,3.501,2.7253,0.8351
mpdd,bracket_brown,0.7,0.5621,0.2503,0.3212,3.9953,3.1131,0.9261
mpdd,bracket_white,0.9,0.5589,0.2569,0.3254,3.8929,3.0729,1.0
mpdd,connector,0.8,0.5933,0.2374,0.3464,4.2114,2.8869,0.9857
mpdd,metal_plate,0.4,0.6278,0.2572,0.4339,3.8879,2.3048,1.0
mpdd,tubes,1.0,0.587,0.2427,0.345,4.1202,2.8985,0.9538
mvtec,bottle,0.1,0.6014,0.1719,0.2593,5.8173,3.8564,1.0
mvtec,cable,0.8,0.5743,0.3522,0.4752,2.8396,2.1044,0.9895
mvtec,capsule,0.7,0.5289,0.2001,0.2246,4.9981,4.4519,0.9817
mvtec,carpet,0.6,0.6082,0.2266,0.3517,4.413,2.8433,1.0
mvtec,grid,0.6,0.5206,0.3068,0.3332,3.2596,3.0012,1.0
mvtec,hazelnut,0.4,0.5822,0.3124,0.4353,3.201,2.297,1.0
mvtec,leather,0.0,0.5726,0.2226,0.2982,4.4922,3.3537,1.0
mvtec,metal_nut,0.2,0.5636,0.2722,0.3515,3.674,2.8452,1.0
mvtec,pill,0.9,0.5829,0.2627,0.3672,3.8063,2.7233,0.9875
mvtec,screw,0.6,0.4966,0.2918,0.2878,3.4271,3.4745,0.9465
mvtec,tile,0.2,0.5666,0.3156,0.4126,3.1686,2.4238,1.0
mvtec,toothbrush,0.6,0.5842,0.2502,0.3514,3.9971,2.8454,0.9972
mvtec,transistor,0.9,0.5769,0.3001,0.4093,3.3318,2.4431,0.9908
mvtec,wood,0.7,0.5738,0.3385,0.4557,2.9539,2.1944,0.9965
mvtec,zipper,0.6,0.5876,0.2414,0.3439,4.1431,2.9074,0.9987
visa,candle,0.7,0.5536,0.2305,0.2858,4.3387,3.499,0.9656
visa,capsules,0.9,0.6096,0.2911,0.4545,3.435,2.2,0.9603
visa,cashew,0.7,0.5915,0.2596,0.376,3.8516,2.6598,0.9972
visa,chewinggum,1.0,0.5656,0.2874,0.3741,3.4797,2.6729,0.981
visa,fryum,1.0,0.5315,0.2421,0.2746,4.1309,3.6415,0.955
visa,macaroni1,0.5,0.5626,0.2529,0.3253,3.9539,3.0744,0.8527
visa,macaroni2,0.9,0.5855,0.2924,0.413,3.4195,2.4211,0.804
visa,pcb1,0.9,0.5811,0.2365,0.3282,4.2276,3.047,0.9352
visa,pcb2,0.7,0.5711,0.2307,0.3072,4.3337,3.255,0.8927
visa,pcb3,1.0,0.5464,0.2531,0.3049,3.9515,3.2801,0.9454
visa,pcb4,0.4,0.5356,0.2383,0.2748,4.1967,3.6384,0.9762
visa,pipe_fryum,0.8,0.5615,0.269,0.3444,3.7177,2.9038,0.997
