dataset,category,fixed05,fixed08,oracle,proposed,plateau_hit
btad,01,0.9620991253644317,0.955296404275996,0.9708454810495626,0.959055393586006,0
btad,02,0.8956666666666667,0.9218333333333332,0.9278333333333332,0.9069023333333334,0
btad,03,0.9970121951219512,0.997621951219512,0.9976829268292684,0.9974165853658536,1
mpdd,bracket_black,0.8311170212765958,0.8125,0.8351063829787234,0.8336023936170213,0
mpdd,bracket_brown,0.9140271493212668,0.9260935143288084,0.9260935143288084,0.9191787330316741,0
mpdd,bracket_white,0.9788888888888888,0.9988888888888888,1.0,0.9867422222222222,0
mpdd,connector,0.9642857142857144,0.9857142857142858,0.9857142857142858,0.9731714285714288,0
mpdd,metal_plate,1.0,1.0,1.0,1.0,1
mpdd,tubes,0.932518115942029,0.947463768115942,0.953804347826087,0.9372463768115942,0
mvtec,bottle,1.0,1.0,1.0,1.0,1
mvtec,cable,0.9769490254872564,0.9895052473763118,0.9895052473763118,0.9814047976011995,0
mvtec,capsule,0.9752692461108896,0.9796569605105704,0.9816513761467888,0.9769984044674911,0
mvtec,carpet,0.9995987158908508,1.0,1.0,1.0,1
mvtec,grid,0.9991645781119464,1.0,1.0,0.9993366750208854,1
mvtec,hazelnut,1.0,1.0,1.0,1.0,1
mvtec,leather,1.0,1.0,1.0,1.0,1
mvtec,metal_nut,1.0,1.0,1.0,1.0,1
mvtec,pill,0.9694489907255864,0.986633933442444,0.9874522640480088,0.9782681396617566,0
mvtec,screw,0.9309284689485552,0.9432260709161712,0.9465054314408692,0.9300016396802625,0
mvtec,tile,1.0,1.0,1.0,1.0,1
mvtec,toothbrush,0.9777777777777776,0.9972222222222222,0.9972222222222222,0.99415,0
mvtec,transistor,0.9775,0.9891666666666666,0.9908333333333332,0.9839083333333333,0
mvtec,wood,0.9921052631578948,0.9947368421052633,0.9964912280701754,0.9940473684210527,0
mvtec,zipper,0.9984243697478992,0.9978991596638656,0.998686974789916,0.9986544117647059,1
visa,candle,0.9562,0.9649,0.9656,0.9601664,0
visa,capsules,0.919,0.9596666666666668,0.9603333333333332,0.9464693333333334,0
visa,cashew,0.9896,0.9932,0.9972,0.995456,0
visa,chewinggum,0.9806,0.9806,0.981,0.9806,1
visa,fryum,0.9222,0.948,0.955,0.926988,0
visa,macaroni1,0.8527,0.8249,0.8527,0.850822,0
visa,macaroni2,0.7137000000000001,0.7971,0.8040000000000002,0.7519185,0
visa,pcb1,0.9031,0.9346,0.9352,0.916076,0
visa,pcb2,0.8759999999999999,0.89,0.8927,0.8839631999999998,0
visa,pcb3,0.9217821782178218,0.9452475247524752,0.9454455445544556,0.9287192079207921,0
visa,pcb4,0.975940594059406,0.972970297029703,0.9762376237623762,0.975870099009901,1
visa,pipe_fryum,0.9946,0.997,0.997,0.995461,0
