dataset,category,w_pred,w_oracle,fixed05,fixed08,oracle_auroc,proposed,plateau_hit
mvtec,bottle,0.1,0.1,1.0,1.0,1.0,1.0,1
mvtec,cable,0.8,0.8,0.976949,0.989505,0.989505,0.989505,1
mvtec,capsule,0.7,0.7,0.975269,0.979657,0.981651,0.981651,1
mvtec,carpet,0.6,0.6,0.999599,1.0,1.0,1.0,1
mvtec,grid,0.6,0.6,0.999165,1.0,1.0,1.0,1
mvtec,hazelnut,0.4,0.4,1.0,1.0,1.0,1.0,1
mvtec,leather,0.0,0.0,1.0,1.0,1.0,1.0,1
mvtec,metal_nut,0.2,0.2,1.0,1.0,1.0,1.0,1
mvtec,pill,0.9,0.9,0.969449,0.986634,0.987452,0.987452,1
mvtec,screw,0.6,0.6,0.930928,0.943226,0.946505,0.946505,1
mvtec,tile,0.2,0.2,1.0,1.0,1.0,1.0,1
mvtec,toothbrush,0.6,0.6,0.977778,0.997222,0.997222,0.997222,1
mvtec,transistor,0.9,0.9,0.9775,0.989167,0.990833,0.990833,1
mvtec,wood,0.7,0.7,0.992105,0.994737,0.996491,0.996491,1
mvtec,zipper,0.6,0.6,0.998424,0.997899,0.998687,0.998687,1
visa,candle,0.7,0.7,0.9562,0.9649,0.9656,0.9656,1
visa,capsules,0.9,0.9,0.919,0.959667,0.960333,0.960333,1
visa,cashew,0.7,0.7,0.9896,0.9932,0.9972,0.9972,1
visa,chewinggum,1.0,1.0,0.9806,0.9806,0.981,0.981,1
visa,fryum,1.0,1.0,0.9222,0.948,0.955,0.955,1
visa,macaroni1,0.5,0.5,0.8527,0.8249,0.8527,0.8527,1
visa,macaroni2,0.9,0.9,0.7137,0.7971,0.804,0.804,1
visa,pcb1,0.9,0.9,0.9031,0.9346,0.9352,0.9352,1
visa,pcb2,0.7,0.7,0.876,0.89,0.8927,0.8927,1
visa,pcb3,1.0,1.0,0.921782,0.945248,0.945446,0.945446,1
visa,pcb4,0.4,0.4,0.975941,0.97297,0.976238,0.976238,1
visa,pipe_fryum,0.8,0.8,0.9946,0.997,0.997,0.997,1
btad,01,0.2,0.2,0.962099,0.955296,0.970845,0.970845,1
btad,02,1.0,1.0,0.895667,0.921833,0.927833,0.927833,1
btad,03,1.0,1.0,0.997012,0.997622,0.997683,0.997683,1
mpdd,bracket_black,0.6,0.6,0.831117,0.8125,0.835106,0.835106,1
mpdd,bracket_brown,0.7,0.7,0.914027,0.926094,0.926094,0.926094,1
mpdd,bracket_white,0.9,0.9,0.978889,0.998889,1.0,1.0,1
mpdd,connector,0.8,0.8,0.964286,0.985714,0.985714,0.985714,1
mpdd,metal_plate,0.4,0.4,1.0,1.0,1.0,1.0,1
mpdd,tubes,1.0,1.0,0.932518,0.947464,0.953804,0.953804,1
