dataset,category,w_pred,w_oracle,fixed05,fixed08,oracle_auroc,proposed,plateau_hit
mvtec,bottle,0.6014,0.1,1.0,1.0,1.0,1.0,1
mvtec,cable,0.5743,0.8,0.976949,0.989505,0.989505,0.981408,0
mvtec,capsule,0.5289,0.7,0.975269,0.979657,0.981651,0.976998,0
mvtec,carpet,0.6082,0.6,0.999599,1.0,1.0,1.0,1
mvtec,grid,0.5206,0.6,0.999165,1.0,1.0,0.999337,1
mvtec,hazelnut,0.5822,0.4,1.0,1.0,1.0,1.0,1
mvtec,leather,0.5726,0.0,1.0,1.0,1.0,1.0,1
mvtec,metal_nut,0.5636,0.2,1.0,1.0,1.0,1.0,1
mvtec,pill,0.5829,0.9,0.969449,0.986634,0.987452,0.978271,0
mvtec,screw,0.4966,0.6,0.930928,0.943226,0.946505,0.929994,0
mvtec,tile,0.5666,0.2,1.0,1.0,1.0,1.0,1
mvtec,toothbrush,0.5842,0.6,0.977778,0.997222,0.997222,0.994142,0
mvtec,transistor,0.5769,0.9,0.9775,0.989167,0.990833,0.983912,0
mvtec,wood,0.5738,0.7,0.992105,0.994737,0.996491,0.994046,0
mvtec,zipper,0.5876,0.6,0.998424,0.997899,0.998687,0.998654,1
visa,candle,0.5536,0.7,0.9562,0.9649,0.9656,0.960164,0
visa,capsules,0.6096,0.9,0.919,0.959667,0.960333,0.946467,0
visa,cashew,0.5915,0.7,0.9896,0.9932,0.9972,0.995457,0
visa,chewinggum,0.5656,1.0,0.9806,0.9806,0.981,0.9806,1
visa,fryum,0.5315,1.0,0.9222,0.948,0.955,0.926985,0
visa,macaroni1,0.5626,0.5,0.8527,0.8249,0.8527,0.850823,0
visa,macaroni2,0.5855,0.9,0.7137,0.7971,0.804,0.751906,0
visa,pcb1,0.5811,0.9,0.9031,0.9346,0.9352,0.916083,0
visa,pcb2,0.5711,0.7,0.876,0.89,0.8927,0.883961,0
visa,pcb3,0.5464,1.0,0.921782,0.945248,0.945446,0.928723,0
visa,pcb4,0.5356,0.4,0.975941,0.97297,0.976238,0.97587,1
visa,pipe_fryum,0.5615,0.8,0.9946,0.997,0.997,0.99546,0
btad,01,0.5783,0.2,0.962099,0.955296,0.970845,0.959054,0
btad,02,0.5911,1.0,0.895667,0.921833,0.927833,0.906904,0
btad,03,0.5829,1.0,0.997012,0.997622,0.997683,0.997416,1
mpdd,bracket_black,0.5623,0.6,0.831117,0.8125,0.835106,0.833602,0
mpdd,bracket_brown,0.5621,0.7,0.914027,0.926094,0.926094,0.919175,0
mpdd,bracket_white,0.5589,0.9,0.978889,0.998889,1.0,0.986738,0
mpdd,connector,0.5933,0.8,0.964286,0.985714,0.985714,0.973172,0
mpdd,metal_plate,0.6278,0.4,1.0,1.0,1.0,1.0,1
mpdd,tubes,0.587,1.0,0.932518,0.947464,0.953804,0.937248,0
