dataset,category,w_pred,w_oracle,fixed05,fixed08,oracle_auroc,proposed,plateau_hit
mvtec,bottle,0.6762,0.1,1.0,1.0,1.0,1.0,1
mvtec,cable,0.4462,0.8,0.976949,0.989505,0.989505,0.972918,0
mvtec,capsule,0.3758,0.7,0.975269,0.979657,0.981651,0.953916,0
mvtec,carpet,0.7063,0.6,0.999599,1.0,1.0,1.0,1
mvtec,grid,0.2012,0.6,0.999165,1.0,1.0,0.995019,0
mvtec,hazelnut,0.5296,0.4,1.0,1.0,1.0,1.0,1
mvtec,leather,0.5296,0.0,1.0,1.0,1.0,1.0,1
mvtec,metal_nut,0.4402,0.2,1.0,1.0,1.0,1.0,1
mvtec,pill,0.5604,0.9,0.969449,0.986634,0.987452,0.975869,0
mvtec,screw,0.1495,0.6,0.930928,0.943226,0.946505,0.820301,0
mvtec,tile,0.4197,0.2,1.0,1.0,1.0,1.0,1
mvtec,toothbrush,0.5737,0.6,0.977778,0.997222,0.997222,0.99211,0
mvtec,transistor,0.5005,0.9,0.9775,0.989167,0.990833,0.97754,0
mvtec,wood,0.4515,0.7,0.992105,0.994737,0.996491,0.992105,0
mvtec,zipper,0.5969,0.6,0.998424,0.997899,0.998687,0.998679,1
visa,candle,0.4324,0.7,0.9562,0.9649,0.9656,0.946807,0
visa,capsules,0.7203,0.9,0.919,0.959667,0.960333,0.957674,0
visa,cashew,0.6127,0.7,0.9896,0.9932,0.9972,0.996152,0
visa,chewinggum,0.438,1.0,0.9806,0.9806,0.981,0.97998,0
visa,fryum,0.3242,1.0,0.9222,0.948,0.955,0.882658,0
visa,macaroni1,0.453,0.5,0.8527,0.8249,0.8527,0.847292,0
visa,macaroni2,0.5621,0.9,0.7137,0.7971,0.804,0.74144,0
visa,pcb1,0.5642,0.9,0.9031,0.9346,0.9352,0.913373,0
visa,pcb2,0.5161,0.7,0.876,0.89,0.8927,0.877803,0
visa,pcb3,0.3731,1.0,0.921782,0.945248,0.945446,0.879081,0
visa,pcb4,0.3457,0.4,0.975941,0.97297,0.976238,0.969898,0
visa,pipe_fryum,0.4315,0.8,0.9946,0.997,0.997,0.992134,0
btad,01,0.6002,0.2,0.962099,0.955296,0.970845,0.95821,0
btad,02,0.6061,1.0,0.895667,0.921833,0.927833,0.908539,0
btad,03,0.58,1.0,0.997012,0.997622,0.997683,0.997403,1
mpdd,bracket_black,0.4202,0.6,0.831117,0.8125,0.835106,0.827405,0
mpdd,bracket_brown,0.4528,0.7,0.914027,0.926094,0.926094,0.910824,0
mpdd,bracket_white,0.4297,0.9,0.978889,0.998889,1.0,0.960153,0
mpdd,connector,0.6289,0.8,0.964286,0.985714,0.985714,0.975872,0
mpdd,metal_plate,0.8091,0.4,1.0,1.0,1.0,1.0,1
mpdd,tubes,0.5931,1.0,0.932518,0.947464,0.953804,0.937576,0
