dataset,category,w_pred,w_oracle,fixed05,fixed08,oracle_auroc,proposed,plateau_hit
mvtec,bottle,0.4429,0.1,1.0,1.0,1.0,1.0,1
mvtec,cable,0.674,0.8,0.976949,0.989505,0.989505,0.986553,0
mvtec,capsule,0.2784,0.7,0.975269,0.979657,0.981651,0.93017,0
mvtec,carpet,0.5347,0.6,0.999599,1.0,1.0,0.999738,1
mvtec,grid,0.3091,0.6,0.999165,1.0,1.0,0.997645,0
mvtec,hazelnut,0.5697,0.4,1.0,1.0,1.0,1.0,1
mvtec,leather,0.4555,0.0,1.0,1.0,1.0,1.0,1
mvtec,metal_nut,0.5474,0.2,1.0,1.0,1.0,1.0,1
mvtec,pill,0.5618,0.9,0.969449,0.986634,0.987452,0.976027,0
mvtec,screw,0.3329,0.6,0.930928,0.943226,0.946505,0.884151,0
mvtec,tile,0.4462,0.2,1.0,1.0,1.0,1.0,1
mvtec,toothbrush,0.4604,0.6,0.977778,0.997222,0.997222,0.974479,0
mvtec,transistor,0.6214,0.9,0.9775,0.989167,0.990833,0.986012,0
mvtec,wood,0.3077,0.7,0.992105,0.994737,0.996491,0.991296,0
mvtec,zipper,0.6977,0.6,0.998424,0.997899,0.998687,0.998174,1
visa,candle,0.3796,0.7,0.9562,0.9649,0.9656,0.939038,0
visa,capsules,0.7627,0.9,0.919,0.959667,0.960333,0.958734,0
visa,cashew,0.5566,0.7,0.9896,0.9932,0.9972,0.993224,0
visa,chewinggum,0.5182,1.0,0.9806,0.9806,0.981,0.9806,1
visa,fryum,0.2838,1.0,0.9222,0.948,0.955,0.872161,0
visa,macaroni1,0.3779,0.5,0.8527,0.8249,0.8527,0.836604,0
visa,macaroni2,0.5826,0.9,0.7137,0.7971,0.804,0.75063,0
visa,pcb1,0.5062,0.9,0.9031,0.9346,0.9352,0.904097,0
visa,pcb2,0.4869,0.7,0.876,0.89,0.8927,0.872842,0
visa,pcb3,0.4487,1.0,0.921782,0.945248,0.945446,0.906301,0
visa,pcb4,0.3718,0.4,0.975941,0.97297,0.976238,0.972948,0
visa,pipe_fryum,0.5676,0.8,0.9946,0.997,0.997,0.995547,0
btad,01,0.5402,0.2,0.962099,0.955296,0.970845,0.960537,0
btad,02,0.4417,1.0,0.895667,0.921833,0.927833,0.888473,0
btad,03,0.7983,1.0,0.997012,0.997622,0.997683,0.99762,1
mpdd,bracket_black,0.424,0.6,0.831117,0.8125,0.835106,0.827578,0
mpdd,bracket_brown,0.4093,0.7,0.914027,0.926094,0.926094,0.907871,0
mpdd,bracket_white,0.4114,0.9,0.978889,0.998889,1.0,0.955255,0
mpdd,connector,0.5585,0.8,0.964286,0.985714,0.985714,0.96986,0
mpdd,metal_plate,0.7745,0.4,1.0,1.0,1.0,1.0,1
mpdd,tubes,0.497,1.0,0.932518,0.947464,0.953804,0.932099,0
